Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Suspected Physical Attack,2014,6/11/2014,9:30 AM,6/11/2014,9:31 AM,Tucson Electric Power,"Nogales, Arizona",WECC,N/A,N/A,"vandalism, physical"
Severe Weather - Thunderstorms,2014,6/10/2014,9:50 PM,6/11/2014,2:30 PM,American Electric Power,West Virginia,RFC,Unknown,66383,"severe weather, thunderstorm"
Electrical System Islanding,2014,6/9/2014,11:07 AM,6/9/2014,11:30 AM,Peak Reliability,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Severe Weather - Thunderstorms,2014,6/7/2014,11:00 PM,6/8/2014,5:30 AM,Southern Company,"North and Central , Alabama",SERC,217,65000,"severe weather, thunderstorm"
Fuel Supply Emergency - Coal,2014,6/6/2014,1:00 PM,Unknown,Unknown,"Luminant Energy Company, LLC",Texas,ERCOT,Unknown,Unknown,"fuel supply emergency, coal"
Severe Weather - Thunderstorms,2014,6/5/2014,3:00 AM,6/7/2014,11:45 PM,Memphis Light Gas and Water Division,"Shelby County, Tennessee",SERC,494,38500,"severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,6/5/2014,1:06 PM,6/5/2014,1:07 PM,Tennessee Valley Authority,West Tennessee,SERC,Unknown,56475,"severe weather, thunderstorm"
Electrical System Islanding,2014,6/3/2014,3:32 PM,6/3/2014,3:59 PM,Peak Reliability,"Alberta, Canada",WECC,338,N/A,islanding
Physical Attack - Vandalism,2014,6/3/2014,1:38 AM,6/3/2014,1:43 AM,Lower Colorado River Authority,Texas,ERCOT,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,5/27/2014,11:00 AM,5/27/2014,4:53 PM,Arizona Public Service Co,"Phoenix, Arizona",WECC,N/A,N/A,"vandalism, physical"
Electrical System Separation (Islanding),2014,5/26/2014,12:31 PM,5/26/2014,1:18 PM,Peak Reliability,"British Columbia & Alberta, Canada",WECC,Unknown,Unknown,islanding
Physical Attack - Vandalism,2014,5/23/2014,3:00 PM,5/25/2014,7:00 PM,Duke Energy Progress,North Carolina,SERC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,5/20/2014,7:01 AM,5/20/2014,7:02 AM,PacifiCorp,"Duchesne County, Utah",WECC,N/A,N/A,"vandalism, physical"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/16/2014,10:43 AM,5/16/2014,9:00 PM,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,3900,"1,400,000","wild fire, public appeal"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/15/2014,10:43 AM,Unknown,Unknown,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,3300,"1,400,000","wild fire, public appeal"
Suspected Physical Attack,2014,5/15/2014,12:10 PM,5/15/2014,12:13 PM,"Whiting Clean Energy, Inc.","Whiting, Indiana",RFC,N/A,N/A,"vandalism, physical"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/14/2014,3:34 PM,Unknown,Unknown,San Diego Gas & Electric Company,"San Diego & Orange Counties, California",WECC,N/A,426,"wild fire, public appeal"
Physical Attack - Vandalism,2014,5/12/2014,1:14 PM,5/12/2014,1:15 PM,PacifiCorp,"Layton, Utah",WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,5/11/2014,6:38 PM,5/11/2014,6:39 PM,Great River Energy,"MISO North, Minnesota",MRO,Unknown,Unknown,"vandalism, physical"
Severe Weather - Heavy Winds,2014,5/9/2014,6:00 PM,5/11/2014,1:00 PM,Vectren Energy Delivery of Indiana,Indiana,RFC,Unknown,56000,"severe weather, wind"
Physical Attack,2014,5/8/2014,8:39 AM,5/8/2014,8:40 AM,"CSolar IV South, LLC","Imperial Valley, California",WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack,2014,5/8/2014,1:00 AM,5/8/2014,1:01 AM,Clarksdale Public Utilities,Mississippi,SERC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2014,4/30/2014,3:50 AM,4/30/2014,2:00 PM,Southern Company,"Alabama, Florida, Georgia",SERC,296,89000,"severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,4/29/2014,11:30 PM,4/29/2014,12:30 PM,Southern Company,"Mississippi, Alabama",SERC,355,106648,"severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,4/29/2014,9:37 AM,5/1/2014,9:00 AM,Tennessee Valley Authority,"Northeastern Mississippi, Northern Alabama",SERC,Unknown,57000,"severe weather, thunderstorm"
Electrical System Separation (Islanding),2014,4/27/2014,9:15 AM,Unknown,Unknown,Peak Reliability,"Alberta, Canada",WECC,9750,"4,000,000",islanding
Physical Attack - Vandalism,2014,4/27/2014,12:07 PM,4/27/2014,12:09 PM,PacifiCorp,"Albany, Oregon",WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,4/25/2014,7:00 AM,4/25/2014,7:30 AM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical"
Electrical System Separation (Islanding),2014,4/24/2014,3:02 PM,4/24/2014,5:13 PM,Peak Reliability,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Load shedding of 100 Megawatts,2014,4/23/2014,7:45 PM,4/23/2014,8:37 PM,MISO / Entergy Transmission,"Baton Rouge, Louisiana",SERC,163,28000,load shedding
Severe Weather,2014,4/12/2014,8:00 PM,4/15/2014,7:30 PM,Detroit Edison Company,Michigan,RFC,Unknown,164000,severe weather
Severe Weather - Thunderstorms,2014,4/12/2014,6:15 PM,4/14/2014,9:00 AM,Consumers Energy,Western and Central Michigan,RFC,Unknown,50000,"severe weather, thunderstorm"
Physical Attack - Vandalism,2014,4/8/2014,1:00 PM,4/8/2014,1:01 PM,"Western Area Power Administration, Sierra Nevada Region","Davis, California",WECC,Unknown,Unknown,"vandalism, physical"
Voltage Reduction,2014,4/8/2014,11:09 AM,4/8/2014,11:20 AM,Puerto Rico Electric Power Authority,Puerto Rico,PR,Unknown,Unknown,voltage reduction
Severe Weather - Wind,2014,4/4/2014,3:30 AM,4/4/2014,8:15 AM,"Entergy Services, Inc.",Central Arkansas,SERC,Unknown,57200,"severe weather, wind"
Fuel Supply Emergency - Coal,2014,4/3/2014,12:00 AM,Unknown,Unknown,City of Garland / Texas Municipal Power Agency,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal"
Fuel Supply Emergency - Coal,2014,4/3/2014,2:45 PM,4/9/2014,11:53 AM,We Energies,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal"
System Wide Voltage Reduction,2014,3/31/2014,3:41 PM,3/31/2014,8:08 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,Unknown,Unknown,voltage reduction
Electrical System Separation (Islanding),2014,3/26/2014,1:37 PM,3/26/2014,2:33 PM,Peak Reliability,Montana,WECC,Unknown,Unknown,islanding
Physical Attack,2014,3/26/2014,4:00 PM,4/10/2014,12:00 PM,ITC Midwest LLC,Iowa,MRO,N/A,N/A,"vandalism, physical"
Physical Attack - Vandalism,2014,3/24/2014,11:07 AM,3/24/2014,11:08 AM,PacifiCorp,"Salt Lake City, Utah",WECC,N/A,N/A,"vandalism, physical"
Suspected Cyber Attack,2014,3/20/2014,12:00 AM,3/20/2014,12:01 AM,NRG Energy Inc 2,New York,NPCC,Unknown,Unknown,"vandalism, cyber"
Physical Attack - Sabatoge,2014,3/17/2014,5:25 PM,3/18/2014,12:56 AM,Arizona Public Service Co,"Glendale, Arizona",WECC,N/A,N/A,vandalism
Physical Attack - Vandalism,2014,3/14/2014,12:34 PM,3/14/2014,4:45 PM,ITC Holdings,"Boone County, Iowa",MRO,Unknown,Unknown,"vandalism, physical"
Severe Weather - High Winds,2014,3/12/2014,7:35 PM,3/13/2014,12:00 PM,Duke Energy Carolinas,North Carolina,SERC,250,61377,"severe weather, wind"
Suspected Physical Attack,2014,3/11/2014,12:00 AM,3/13/2014,12:00 AM,ITC Midwest LLC,"Boone County, Iowa",MRO,Unknown,Unknown,"vandalism, physical"
Severe Weather - Winter Storm,2014,3/7/2014,3:30 AM,3/7/2014,9:00 PM,Duke Energy Carolinas,"Triad, North Carolina",SERC,1500,370900,"severe weather, winter storm"
Physical Attack,2014,3/5/2014,5:06 PM,3/5/2014,5:07 PM,PacifiCorp,"Salt Lake City, Utah",WECC,Unknown,Unknown,"vandalism, physical"
Fuel Supply Emergency - Coal,2014,3/4/2014,9:06 AM,3/17/2014,9:06 AM,Wisconsin Public Service Corp,"Weston, Wisconsin",MRO,Unknown,Unknown,"fuel supply emergency, coal"
Suspected Physical Attack,2014,3/3/2014,5:25 PM,3/3/2014,5:25 PM,"Orange and Rockland Utilities, Inc.",New York,NPCC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Winter Storm,2014,3/3/2014,6:40 AM,3/3/2014,3:28 PM,Tennessee Valley Authority,Tennessee,SERC,Unknown,65904,"severe weather, winter storm"
Fuel Supply Emergency - Hydro,2014,3/3/2014,1:48 AM,3/3/2014,1:49 AM,Public Utility District #1 of Chelan County (CHPD),"Mid-Columbia River Generation, Washington",WECC,630,Unknown,"fuel supply emergency, hydro"
Public Appeal due to Severe Weather - Cold,2014,3/2/2014,7:00 PM,3/4/2014,9:00 AM,ERCOT,ERCOT Region Texas,TRE,N/A,N/A,"severe weather, cold"
Severe Weather - Thunderstorms/High Winds,2014,2/21/2014,2:53 AM,2/21/2014,9:00 PM,Southern Company,Northern/Northeastern Georgia,SERC,221,66445,"severe weather, thunderstorm, wind"
Severe Weather - Snow/Ice,2014,2/20/2014,4:40 PM,2/21/2014,11:59 PM,Ameren Missouri,"Missouri, Illinois",SERC,Unknown,66000,"severe weather, winter storm"
Physical Attack - Vandalism,2014,2/18/2014,6:43 PM,2/18/2014,6:44 PM,PacifiCorp,"Bend, Oregon",WECC,N/A,N/A,"vandalism, physical"
Physical Attack - Vandalism,2014,2/14/2014,1:00 PM,2/14/2014,3:00 PM,PacifiCorp,"Portland, Oregon",WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Snow/Ice,2014,2/12/2014,12:10 PM,2/15/2014,3:20 PM,Duke Energy Progress,North Carolina,SERC,Unknown,200000,"severe weather, winter storm"
Physical Attack - Vandalism,2014,2/12/2014,2:15 PM,2/12/2014,2:16 PM,ISO New England,Vermont,NPCC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Snow/Ice,2014,2/12/2014,11:03 AM,2/15/2014,8:40 AM,South Carolina Electric and Gas,South Carolina,SERC,700,120124,"severe weather, winter storm"
Severe Weather - Snow/Ice,2014,2/12/2014,7:48 AM,2/15/2014,4:30 AM,Southern Company,Northern/Northeastern Georgia,SERC,1246,373835,"severe weather, winter storm"
Public Appeal to Reduce Electricity Usage,2014,2/7/2014,4:50 PM,2/7/2014,8:30 PM,American Electric Power,Texas,TRE,Unknown,Unknown,public appeal
Public Appeal to Reduce Electricity Usage,2014,2/7/2014,4:30 PM,2/8/2014,9:00 AM,ERCOT,ERCOT Region Texas,TRE,Unknown,Unknown,public appeal
Fuel Supply Emergency - Coal,2014,2/7/2014,7:00 AM,3/21/2014,8:00 AM,"Somerset Operating Company, LLC",Niagara County New York,NPCC,675,Unknown,"fuel supply emergency, coal"
Fuel Supply Emergency - Natural Gas,2014,2/6/2014,1:00 PM,2/6/2014,10:00 PM,California ISO,California,WECC,4000,Unknown,"fuel supply emergency, natural gas"
Public Appeal to Reduce Electricity Usage,2014,2/6/2014,1:58 PM,2/6/2014,8:40 PM,American Electric Power,Rio Grande Valley Texas,TRE,Unknown,Unknown,public appeal
Fuel Supply Emergency - Natural Gas,2014,2/6/2014,2:15 PM,2/6/2014,7:39 PM,Southern California Edison,California,WECC,611,Unknown,"fuel supply emergency, natural gas"
Fuel Supply Emergency - Natural Gas,2014,2/6/2014,1:05 PM,2/6/2014,7:15 PM,Pacific Gas & Electric Co,Northern California,WECC,160,Unknown,"fuel supply emergency, natural gas"
Public Appeal to Reduce Electricity Usage,2014,2/6/2014,3:35 PM,2/7/2014,11:30 AM,ERCOT,ERCOT Region Texas,TRE,Unknown,Unknown,public appeal
Severe Weather - Snow/Ice,2014,2/5/2014,1:00 AM,2/9/2014,8:40 PM,FirstEnergy Corp: Met-Ed,Pennsylvania,RFC,Unknown,144000,"severe weather, winter storm"
Severe Weather - Snow/Ice,2014,2/5/2014,12:00 AM,2/9/2014,6:00 PM,FirstEnergy Corp: Potomac Edison,"Maryland, West Virginia",RFC,Unknown,101580,"severe weather, winter storm"
Severe Weather - Ice,2014,2/5/2014,8:05 AM,2/5/2014,8:06 AM,Baltimore Gas & Electric Company,"Baltimore, Maryland",RFC,800,181000,"severe weather, winter storm"
Fuel Supply Emergency - Coal,2014,2/5/2014,7:00 AM,2/23/2014,7:00 AM,Upstate New York Power Producers,New York,NPCC,300,Unknown,"fuel supply emergency, coal"
Severe Weather - Snow/Ice,2014,2/5/2014,5:00 AM,2/5/2014,5:01 AM,Exelon Corporation/PECO,Pennsylvania,RFC,Unknown,715000,"severe weather, winter storm"
Severe Weather - Snow/Ice,2014,2/5/2014,7:35 AM,2/7/2014,4:03 AM,PPL Electric Utilities Corp,"Lancaster Region, Pennsylvania",RFC,Unknown,62159,"severe weather, winter storm"
Physical Attack - Vandalism,2014,1/30/2014,3:00 PM,Unknown,Unknown,Tucson Electric Power,Arizona,WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/29/2014,4:00 PM,1/29/2014,4:44 PM,Madison Gas and Electric,Unknown,MRO,Unknown,Unknown,"vandalism, physical"
Public Appeal due to Severe Weather - Cold,2014,1/27/2014,2:20 PM,1/28/2014,9:00 PM,PJM Interconnection,Maryland,RFC,Unknown,Unknown,"severe weather, cold"
Physical Attack,2014,1/26/2014,11:00 PM,Unknown,Unknown,Public Service Electric &Gas,New Jersey,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/26/2014,9:00 PM,1/27/2014,11:00 AM,PacifiCorp,Oregon,WECC,N/A,N/A,"vandalism, physical"
Physical Attack - Vandalism,2014,1/25/2014,10:00 AM,1/25/2014,11:00 AM,Madison Gas and Electric,"Madison, Wisconsin",MRO,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/24/2014,3:30 PM,1/24/2014,5:00 PM,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical"
Fuel Supply Emergency - Coal,2014,1/24/2014,12:00 AM,4/9/2014,11:53 AM,We Energies,Wisconsin,RFC,Unknown,Unknown,"fuel supply emergency, coal"
Physical Attack - Vandalism,2014,1/23/2014,9:17 PM,1/24/2014,5:00 PM,Tacoma Power (TPWR),"Wynoochee, Washington",WECC,Unknown,Unknown,"vandalism, physical"
Public Appeal due to Severe Weather - Cold,2014,1/23/2014,4:00 PM,1/24/2014,12:00 PM,Tennessee Valley Authority,Tennessee,SERC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/23/2014,4:00 AM,1/24/2014,12:00 PM,Memphis Light Gas and Water Division,Tennessee,SERC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/23/2014,1:04 PM,1/24/2014,9:00 AM,PJM Interconnection,Maryland,RFC,Unknown,Unknown,"severe weather, cold"
Physical Attack - Vandalism,2014,1/22/2014,9:45 AM,1/22/2014,8:19 PM,Duke Energy Midwest,Ohio,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/22/2014,1:55 PM,1/22/2014,2:55 PM,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical"
Suspected Physical Attack,2014,1/22/2014,9:15 PM,1/23/2014,3:08 AM,Public Service Electric &Gas,"Burlington County, New Jersey",RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/22/2014,12:30 AM,1/22/2014,2:45 AM,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/21/2014,5:00 PM,Unknown,Unknown,Public Service Electric &Gas,New Jersey,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/21/2014,12:14 PM,1/21/2014,12:39 PM,Ameren Missouri,Missouri,SERC,10,Unknown,"vandalism, physical"
Electrical System Islanding,2014,1/18/2014,5:39 PM,Unknown,Unknown,First Energy Solutions Corp.,Unknown,RFC,Unknown,Unknown,islanding
Public Appeal to Reduce Electricity Usage,2014,1/18/2014,9:00 AM,1/18/2014,9:45 AM,ERCOT,Texas,TRE,Unknown,Unknown,public appeal
Suspected Physical Attack,2014,1/17/2014,12:20 PM,1/17/2014,12:20 PM,Dayton Power & Light Co,Ohio,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/16/2014,12:30 PM,1/16/2014,1:57 PM,Arizona Public Service Co,Arizona,WECC,N/A,N/A,"vandalism, physical"
Physical Attack - Vandalism,2014,1/15/2014,2:32 PM,1/15/2014,2:45 PM,PacifiCorp,Utah,WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/13/2014,4:44 PM,1/13/2014,4:45 PM,Arizona Public Service Co,Arizona,WECC,N/A,N/A,"vandalism, physical"
Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,1/8/2014,6:00 AM,1/8/2014,9:00 AM,South Carolina Electric and Gas,South Carolina,SERC,4545,677858,"severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/8/2014,5:00 AM,1/8/2014,6:30 AM,American Electric Power,Unknown,RFC,576,Unknown,"severe weather, cold"
Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,1/7/2014,6:00 PM,1/7/2014,11:00 PM,South Carolina Electric and Gas,South Carolina,SERC,4853,677858,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/7/2014,4:15 PM,1/8/2014,1:20 PM,Duke Energy Progress,North Carolina,SERC,Unknown,Unknown,"severe weather, cold"
Voltage Reduction; Public Appeal due to Severe Weather - Cold,2014,1/7/2014,7:58 AM,1/7/2014,11:00 AM,Duke Energy Progress,North Carolina,SERC,14435,Unknown,"severe weather, cold, public appeal"
Fuel Supply Emergency due to Severe Weather - Cold,2014,1/7/2014,9:30 AM,1/8/2014,9:30 AM,Duke Energy Carolinas,"Piedmont North Carolina, Piedmont South Carolina",SERC,Unknown,Unknown,"severe weather, cold"
Fuel Supply Emergency - Natural Gas,2014,1/7/2014,10:59 AM,1/9/2014,9:00 AM,"Prairie Power, Inc.",Illinois,RFC,N/A,N/A,"fuel supply emergency, natural gas"
Public Appeal due to Severe Weather - Cold,2014,1/7/2014,9:00 PM,1/8/2014,9:00 AM,PJM Interconnection,Unknown,RFC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/7/2014,6:00 AM,1/7/2014,8:30 AM,Tennessee Valley Authority,Northeast Tennessee,SERC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/7/2014,6:00 AM,1/7/2014,8:30 AM,Memphis Light Gas and Water Division,Tennessee,SERC,Unknown,Unknown,"severe weather, cold"
Severe Weather - Cold,2014,1/7/2014,6:18 AM,1/7/2014,6:19 AM,PJM Interconnection,Pennsylvania,RFC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/6/2014,10:00 PM,1/6/2014,10:01 PM,Louisville Gas & Electric Co,Kentucky,RFC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/6/2014,8:45 PM,1/7/2014,9:00 PM,PJM Interconnection,Unknown,RFC,Unknown,Unknown,"severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:50 PM,1/6/2014,8:49 PM,"UGI Utilities, Inc",Pennsylvania,RFC,200,62000,"severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:52 PM,1/6/2014,8:45 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:50 PM,1/6/2014,8:44 PM,Potomac Electric Power Co,District of Columbia,RFC,Unknown,Unknown,"severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:50 PM,1/6/2014,8:44 PM,PJM Interconnection,Unknown,RFC,Unknown,Unknown,"severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:50 PM,1/6/2014,8:44 PM,PPL Electric Utilities Corp,Pennsylvania,RFC,Unknown,Unknown,"severe weather, cold"
Vandalism,2014,1/6/2014,2:37 PM,1/6/2014,2:38 PM,PacifiCorp,Utah,RFC,N/A,N/A,vandalism
Public Appeal due to Severe Weather - Cold,2014,1/6/2014,7:01 AM,1/7/2014,9:00 AM,ERCOT,Texas,TRE,N/A,N/A,"severe weather, cold"
Physical Attack,2013,12/30/2013,11:00 AM,12/30/2013,11:01 AM,PacifiCorp,Salt Lake County Utah,WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2013,12/30/2013,11:00 AM,1/1/2014,8:00 AM,Arizona Public Service Co,North of Roosevelt lake Arizona,WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2013,12/27/2013,9:43 AM,12/27/2013,12:43 PM,Arizona Public Service Co,Gilabend Arizona,WECC,N/A,N/A,"vandalism, physical"
Severe Weather - Ice/Snow,2013,12/23/2013,3:20 PM,12/25/2013,11:32 AM,Central Maine Power Co,Central Maine Maine,NPCC,Unknown,52500,"severe weather, winter storm"
Severe Weather - Ice/Snow,2013,12/22/2013,6:16 AM,12/24/2013,11:59 PM,Niagara Mohawk Power Corp.,Frontier/Genesee/Northern New York,NPCC,Unknown,59000,"severe weather, winter storm"
Severe Weather - Ice/Snow,2013,12/22/2013,3:28 AM,12/28/2013,11:45 PM,Consumers Energy Co,"Southern Lower Penninsula, Michigan",RFC,Unknown,50000,"severe weather, winter storm"
Severe Weather - Ice/Snow,2013,12/22/2013,6:30 AM,12/25/2013,5:12 AM,Detroit Edison Co,Michigan,RFC,350,140735,"severe weather, winter storm"
Fuel Supply Emergencies (Coal),2013,12/13/2013,11:00 AM,12/27/2013,11:00 AM,City of Garland,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal"
Fuel Supply Emergencies (Coal),2013,12/13/2013,11:00 AM,12/27/2013,11:00 AM,Texas Municipal Power Agency,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal"
Suspected Physical Attack,2013,12/10/2013,1:01 AM,12/11/2013,1:01 AM,Arizona Public Service Co,Arizona,WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Ice/Snow,2013,12/9/2013,6:54 AM,12/9/2013,2:22 PM,Dominion Virginia Power,Virginia Service Territory,SERC,293,88000,"severe weather, winter storm"
Severe Weather - Ice/Snow,2013,12/6/2013,1:51 AM,12/11/2013,12:00 PM,Oncor Electric Delivery Company LLC,"Greater Houston, Texas",TRE,Unknown,881000,"severe weather, winter storm"
"Physical Attack - Vandalism, Theft",2013,12/6/2013,8:47 AM,12/6/2013,8:49 AM,PacifiCorp,"Saratoga, Utah",WECC,N/A,N/A,"vandalism, physical"
Load Shed 100+ MW,2013,12/4/2013,5:00 AM,12/4/2013,4:17 PM,WECC - Loveland,"Idaho Falls Area Idaho, Utah-Idaho Border Utah",WECC,150,Unknown,load shedding
Physical Attack - Vandalism,2013,11/24/2013,7:38 AM,11/24/2013,7:39 AM,Pacific Gas & Electric Co,Salt Lake County Utah,WECC,N/A,N/A,"vandalism, physical"
Severe Weather - Wind Storm,2013,11/21/2013,7:45 PM,11/22/2013,3:20 AM,Pacific Gas & Electric Co,Northern California,WECC,150,89500,"severe weather, wind"
Physical Attack - Vandalism,2013,11/20/2013,3:08 AM,11/20/2013,3:09 AM,Pacific Gas & Electric Co,Salt Lake County Utah,WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,11/17/2013,2:31 PM,11/17/2013,10:30 PM,Commonwealth Edison Co,Entire ComEd Territory Illinois,RFC,Unknown,190000,"severe weather, thunderstorm"
Severe Weather - Ice and Snow Storm,2013,11/17/2013,7:00 AM,11/20/2013,6:54 PM,Detroit Edison Co,Michigan,RFC,Unknown,325325,"severe weather, winter storm"
Severe Weather - Thunderstorms,2013,11/17/2013,4:19 PM,11/18/2013,6:00 PM,American Electric Power,"Indiana, Michigan",RFC,Unknown,77346,"severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,11/17/2013,4:47 PM,11/20/2013,4:47 PM,Duke Energy Midwest,Central Indiana,RFC,Unknown,61705,"severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,11/17/2013,4:45 PM,11/21/2013,4:45 PM,Consumers Energy Co,Entire Lower Peninsula Michigan,RFC,Unknown,50000,"severe weather, thunderstorm"
System-wide voltage reductions of 3 percent or more,2013,11/17/2013,12:35 PM,11/17/2013,1:40 PM,City of Rochelle,"Rochelle, Indiana",RFC,38,7500,voltage reduction
Severe Weather - Thunderstorms,2013,11/17/2013,1:06 PM,11/20/2013,1:06 PM,Northern Indiana Public Service Company,North Central Indiana,RFC,Unknown,75065,"severe weather, thunderstorm"
Severe Weather - Tornadoes,2013,11/17/2013,4:47 PM,11/20/2013,11:59 AM,Duke Energy Indiana Inc,Central Indiana,RFC,535,61705,"severe weather, tornado"
